id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1248132340439830528,1248020003615457281,1586412913000,2020-04-08,23:15:13,PDT,316986307,craig_rasmussen,Left-handed Liberal,,Your wonder drug is already a failure . . . just like you! https://www.newsweek.com/hydroxychloroquine-coronavirus-france-heart-cardiac-1496810 …,['realdonaldtrump'],['https://www.newsweek.com/hydroxychloroquine-coronavirus-france-heart-cardiac-1496810'],[],0,0,0,[],[],https://twitter.com/Craig_Rasmussen/status/1248132340439830528,False,,0,Washington DC,,,,,,"[{'user_id': '316986307', 'username': 'Craig_Rasmussen'}, {'user_id': '25073877', 'username': 'realDonaldTrump'}]",,,,
1248132319598305280,1248130020847091712,1586412908000,2020-04-08,23:15:08,PDT,1121773986516557825,shrillandchill,claudia (let them) b,,"Ew, so weird. Even still- Trump is withholding WHO funding and trying to buy up vaccine companies so only American get it. She seems so much better in contrast.",['childfreediva'],[],[],1,0,1,[],[],https://twitter.com/shrillandchill/status/1248132319598305280,False,,0,Washington DC,,,,,,"[{'user_id': '1121773986516557825', 'username': 'shrillandchill'}, {'user_id': '115883210', 'username': 'childfreediva'}]",,,,
1248132283464159233,1247596351510196225,1586412900000,2020-04-08,23:15:00,PDT,361003801,aklers,❌Deplorable Ann❌,,We are seeing the corrupt DEMONRATS agenda right in our face,"['rconau', 'irenerusso124', 'jali_cat', 'abc', 'abcpolitics', 'realdonaldtrump', 'potus', 'vp']",[],[],0,0,0,[],[],https://twitter.com/Aklers/status/1248132283464159233,False,,0,Washington DC,,,,,,"[{'user_id': '361003801', 'username': 'Aklers'}, {'user_id': '1181648715016212483', 'username': 'RConau'}, {'user_id': '734566742052200449', 'username': 'irenerusso124'}, {'user_id': '1546656000', 'username': 'Jali_Cat'}, {'user_id': '28785486', 'username': 'ABC'}, {'user_id': '16815644', 'username': 'ABCPolitics'}, {'user_id': '25073877', 'username': 'realDonaldTrump'}, {'user_id': '822215679726100480', 'username': 'POTUS'}, {'user_id': '818910970567344128', 'username': 'VP'}]",,,,
1248132165730062336,1248031484532928514,1586412872000,2020-04-08,23:14:32,PDT,1838088222,andeenickee,Andrea Nicole,,"Yeah. Same thing, bruh.",['realdonaldtrump'],[],[],0,0,0,[],[],https://twitter.com/andeenickee/status/1248132165730062336,False,,0,Washington DC,,,,,,"[{'user_id': '1838088222', 'username': 'andeenickee'}, {'user_id': '25073877', 'username': 'realDonaldTrump'}]",,,,
1248131798783098880,1248131798783098880,1586412784000,2020-04-08,23:13:04,PDT,1112011786880983041,prestweets_,Presidential Tweets,,Trump questions. I not land and Members,[],[],[],0,0,0,[],[],https://twitter.com/prestweets_/status/1248131798783098880,False,,0,Washington DC,,,,,,"[{'user_id': '1112011786880983041', 'username': 'prestweets_'}]",,,,
1248131664469000192,1248131664469000192,1586412752000,2020-04-08,23:12:32,PDT,953629088203333632,fiinnislam,disabled girls for bernie,,yes vote blue no matter who but don’t fucking tell me to blindly vote bitch I’ll kill you. if Trump wasn’t the disgrace that he is I’d make you earn our vote.,[],[],[],0,0,0,[],[],https://twitter.com/fiinnislam/status/1248131664469000192,False,,0,Washington DC,,,,,,"[{'user_id': '953629088203333632', 'username': 'fiinnislam'}]",,,,
1248131654322880514,1248131654322880514,1586412750000,2020-04-08,23:12:30,PDT,826150510289883136,reaistevebannon,Steve Bannon,,"@realDonaldTrump You’re nothing without me behind you, Donald.",['realdonaldtrump'],[],[],0,0,0,[],[],https://twitter.com/reaISteveBannon/status/1248131654322880514,False,,0,Washington DC,,,,,,"[{'user_id': '826150510289883136', 'username': 'reaISteveBannon'}, {'user_id': '25073877', 'username': 'realDonaldTrump'}]",,,,
1248131548752347136,1248022496907059200,1586412725000,2020-04-08,23:12:05,PDT,316986307,craig_rasmussen,Left-handed Liberal,,"Your wonder drug is a failure . . . just like you!
 https://www.newsweek.com/hydroxychloroquine-coronavirus-france-heart-cardiac-1496810 …","['whitehouse', 'realdonaldtrump']",['https://www.newsweek.com/hydroxychloroquine-coronavirus-france-heart-cardiac-1496810'],[],0,0,0,[],[],https://twitter.com/Craig_Rasmussen/status/1248131548752347136,False,,0,Washington DC,,,,,,"[{'user_id': '316986307', 'username': 'Craig_Rasmussen'}, {'user_id': '822215673812119553', 'username': 'WhiteHouse'}, {'user_id': '25073877', 'username': 'realDonaldTrump'}]",,,,
1248131542091792384,1247666977566490626,1586412723000,2020-04-08,23:12:03,PDT,281673370,pariscandles,Margaret Rogers,,Yet Trump et al want to “open” the country back up in a matter of weeks. Result? Even many more unnecessary deaths. Insane.,['jburnmurdoch'],[],[],0,0,0,[],[],https://twitter.com/ParisCandles/status/1248131542091792384,False,,0,Washington DC,,,,,,"[{'user_id': '281673370', 'username': 'ParisCandles'}, {'user_id': '43878033', 'username': 'jburnmurdoch'}]",,,,
1248131316471812096,1247908643527409665,1586412669000,2020-04-08,23:11:09,PDT,827733665920737280,roguehistorian2,Rogue Historian,,We could have done that successfully if you hadn't lied to us and ignored the briefings that you received in January. #COVID #LiarInChief #BeBest,['realdonaldtrump'],[],[],0,0,0,"['#covid', '#liarinchief', '#bebest']",[],https://twitter.com/RogueHistorian2/status/1248131316471812096,False,,0,Washington DC,,,,,,"[{'user_id': '827733665920737280', 'username': 'RogueHistorian2'}, {'user_id': '25073877', 'username': 'realDonaldTrump'}]",,,,
